Distrito,Códigos Postales
Ciutat Vella,8001
Ciutat Vella,8002
Ciutat Vella,8003
Sant Martí,8005
Sant Martí,8018
Sant Martí,8018
Sant Martí,8019
Sant Martí,8020
Sant Martí,8026
Eixample,8007
Eixample,8008
Eixample,8009
Eixample,8010
Eixample,8011
Eixample,8013
Eixample,8015
Eixample,8036
Sants-Montjuïc,8004
Sants-Montjuïc,8014
Sants-Montjuïc,8028
Sants-Montjuïc,8038
Sants-Montjuïc,8040
Les Corts,8029
Les Corts,8034
Sarrià-St. Gervasi,8017
Sarrià-St. Gervasi,8021
Sarrià-St. Gervasi,8022
Gràcia,8012
Gràcia,8023
Horta-Guinardó,8024
Horta-Guinardó,8025
Horta-Guinardó,8032
Horta-Guinardó,8035
Horta-Guinardó,8041
Nou Barris,8016
Nou Barris,8031
Nou Barris,8033
Nou Barris,8042
Sant Andreu,8030